6 8 0 E 1 F A D 5 B 9 3 C 7 2 4
7 A 4 9 B 3 0 2 F 1 C E D 6 5 8
5 B 1 C E 6 4 7 A 2 D 8 F 3 9 0
2 D 3 F 5 C 9 8 6 7 4 0 1 A B E
9 4 2 0 6 D 5 B 1 3 A F 7 E 8 C
E 1 D 3 2 4 C A 7 0 8 5 9 B F 6
B F 6 8 9 7 3 E C D 2 4 A 1 0 5
C 5 A 7 F 8 1 0 9 E 6 B 3 2 4 D
4 9 B D 7 A 8 1 0 C 5 2 6 F E 3
3 C 7 1 4 5 F 6 B 8 E A 0 9 D 2
8 2 F A 0 E D 9 3 4 1 6 B 5 C 7
0 6 E 5 3 2 B C D F 7 9 4 8 1 A
A 0 9 4 C 1 E 5 8 6 B 7 2 D 3 F
F 7 5 B D 9 2 3 E A 0 C 8 4 6 1
1 E 8 2 A 0 6 F 4 9 3 D 5 C 7 B
D 3 C 6 8 B 7 4 2 5 F 1 E 0 A 9
